Feature,Importance
Contract,0.17207711204398693
Tenure Months,0.1394172872180399
Total Charges,0.122254173086222
Monthly Charges,0.11637140995166191
Online Security,0.07964124899360002
Dependents,0.0733656937193935
Tech Support,0.06407676284151405
Internet Service,0.045712545906747816
Payment Method,0.03843021604763087
Online Backup,0.02424780760773915
Paperless Billing,0.02105180282810181
Device Protection,0.017302012874931362
Partner,0.015586135444638582
Multiple Lines,0.015322960271279815
Gender,0.014336673940351234
Streaming TV,0.012772901472231308
Streaming Movies,0.012550848902779245
Senior Citizen,0.010385782369333007
Phone Service,0.005096624479817469
